projectDescriptionID,releaseID,sourceOfFishSiteID,releaseSiteID,releaseSubSiteID,nReleased,releaseTime,testDays,appliedMarkPositionID,releasePurpose,commonName,markedRun,markedLifeStage,markedFishOrigin,releaseLightCondition,includeTest,appliedMarkType,appliedMarkColor
9,599,63000,62000,NA,246,2021-03-22T09:45:50Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Not recorded,NA,Yes,Pigment / dye,Brown
9,600,63000,62000,NA,198,2021-03-24T09:15:49Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Not recorded,NA,Yes,Pigment / dye,Brown
9,601,63000,62000,NA,112,2021-03-25T10:00:49Z,6,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Not recorded,NA,Yes,Pigment / dye,Brown
9,602,63000,62000,NA,128,2021-04-01T10:30:08Z,10,21,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,NA,Yes,Pigment / dye,Brown
9,603,252,62000,NA,500,2022-03-11T09:45:36Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,NA,Hatchery,NA,Yes,Elastomer,Orange
9,604,NA,62000,NA,518,2022-03-18T09:30:15Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,NA,Yes,Elastomer,Pink
9,605,NA,62000,NA,500,2022-03-25T09:15:18Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,Not recorded,Hatchery,Daylight,Yes,Elastomer,Pink
9,606,NA,62000,NA,499,2022-04-01T09:30:22Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,Daylight,Yes,Elastomer,Pink
9,607,NA,62000,NA,537,2022-04-08T09:45:38Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,Daylight,Yes,Elastomer,Pink
9,608,63000,62000,NA,275,2021-12-21T10:45:35Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Natural,Daylight,Yes,Pigment / dye,Brown
9,609,63000,62000,NA,212,2021-12-30T09:45:36Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Natural,Daylight,Yes,Pigment / dye,Orange
9,610,63000,62000,NA,320,2022-01-10T10:00:37Z,7,21,Trap capture efficiency test,Chinook salmon,Not recorded,Juvenile,Natural,Daylight,Yes,Pigment / dye,Orange
9,611,NA,62000,NA,493,2022-04-15T09:45:20Z,7,13,Trap capture efficiency test,Chinook salmon,Fall,Juvenile,Hatchery,Daylight,Yes,Elastomer,Pink
